video_name,type,frame_folder_path,num_frames,status,drive,source_real_video,face_source_id,num_related_fakes,num_related_reals
id0_0000,real,H:\Celeb-real FRAMES\id0_0000,469,complete,H:,,,13,
id0_0001,real,H:\Celeb-real FRAMES\id0_0001,303,complete,H:,,,12,
id0_0002,real,H:\Celeb-real FRAMES\id0_0002,350,complete,H:,,,12,
id0_0003,real,H:\Celeb-real FRAMES\id0_0003,529,complete,H:,,,13,
id0_0004,real,H:\Celeb-real FRAMES\id0_0004,246,complete,H:,,,12,
id0_0005,real,H:\Celeb-real FRAMES\id0_0005,459,complete,H:,,,13,
id0_0006,real,H:\Celeb-real FRAMES\id0_0006,534,complete,H:,,,13,
id0_0007,real,H:\Celeb-real FRAMES\id0_0007,479,complete,H:,,,12,
id0_0008,real,H:\Celeb-real FRAMES\id0_0008,464,complete,H:,,,9,
id0_0009,real,H:\Celeb-real FRAMES\id0_0009,520,complete,H:,,,12,
id0_id16_0000,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0000,469,complete,J:,id16_0000,0,,1
id0_id16_0001,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0001,303,complete,J:,id16_0001,0,,1
id0_id16_0002,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0002,350,complete,J:,id16_0002,0,,1
id0_id16_0003,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0003,529,complete,J:,id16_0003,0,,1
id0_id16_0004,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0004,326,complete,J:,id16_0004,0,,1
id0_id16_0005,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0005,459,complete,J:,id16_0005,0,,1
id0_id16_0006,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0006,534,complete,J:,id16_0006,0,,1
id0_id16_0007,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0007,479,complete,J:,id16_0007,0,,1
id0_id16_0008,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0008,464,complete,J:,id16_0008,0,,1
id0_id16_0009,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0009,520,complete,J:,id16_0009,0,,1
id0_id17_0000,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id17_0000,469,complete,J:,id17_0000,0,,1
id0_id17_0001,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id17_0001,303,complete,J:,id17_0001,0,,1
id0_id17_0002,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id17_0002,350,complete,J:,id17_0002,0,,1
id0_id17_0003,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id17_0003,529,complete,J:,id17_0003,0,,1
id0_id17_0005,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id17_0005,459,complete,J:,id17_0005,0,,1
id0_id17_0006,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id17_0006,534,complete,J:,id17_0006,0,,1
id0_id17_0007,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id17_0007,479,complete,J:,id17_0007,0,,1
id0_id17_0009,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id17_0009,520,complete,J:,id17_0009,0,,1
id0_id1_0000,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id1_0000,469,complete,J:,id1_0000,0,,1
id0_id1_0001,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id1_0001,303,complete,J:,id1_0001,0,,1
id0_id1_0002,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id1_0002,350,complete,J:,id1_0002,0,,1
id0_id1_0003,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id1_0003,529,complete,J:,id1_0003,0,,1
id0_id1_0005,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id1_0005,459,complete,J:,id1_0005,0,,1
id0_id1_0006,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id1_0006,534,complete,J:,id1_0006,0,,1
id0_id1_0007,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id1_0007,479,complete,J:,id1_0007,0,,1
id0_id1_0009,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id1_0009,520,complete,J:,id1_0009,0,,1
id0_id20_0000,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0000,469,complete,J:,id20_0000,0,,1
id0_id20_0001,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0001,303,complete,J:,id20_0001,0,,1
id0_id20_0002,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0002,350,complete,J:,id20_0002,0,,1
id0_id20_0003,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0003,529,complete,J:,id20_0003,0,,1
id0_id20_0004,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0004,326,complete,J:,id20_0004,0,,1
id0_id20_0005,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0005,459,complete,J:,id20_0005,0,,1
id0_id20_0006,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0006,534,complete,J:,id20_0006,0,,1
id0_id20_0007,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0007,479,complete,J:,id20_0007,0,,1
id0_id20_0009,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id20_0009,520,complete,J:,id20_0009,0,,1
id0_id21_0000,fake,J:\DF\FR\Celeb-synthesis FRAMES\id0_id21_0000,469,complete,J:,id21_0000,0,,1
