pair_id,real_video,fake_video,face_source_id,real_frames_path,fake_frames_path,real_num_frames,fake_num_frames,real_drive,fake_drive,real_status,fake_status,both_complete
1,id16_0000,id0_id16_0000,0,H:\Celeb-real FRAMES\id16_0000,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0000,317,469,H:,J:,complete,complete,yes
2,id16_0001,id0_id16_0001,0,H:\Celeb-real FRAMES\id16_0001,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0001,316,303,H:,J:,complete,complete,yes
3,id16_0002,id0_id16_0002,0,H:\Celeb-real FRAMES\id16_0002,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0002,363,350,H:,J:,complete,complete,yes
4,id16_0003,id0_id16_0003,0,H:\Celeb-real FRAMES\id16_0003,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0003,303,529,H:,J:,complete,complete,yes
5,id16_0004,id0_id16_0004,0,H:\Celeb-real FRAMES\id16_0004,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0004,410,326,H:,J:,complete,complete,yes
6,id16_0005,id0_id16_0005,0,H:\Celeb-real FRAMES\id16_0005,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0005,345,459,H:,J:,complete,complete,yes
7,id16_0006,id0_id16_0006,0,H:\Celeb-real FRAMES\id16_0006,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0006,224,534,H:,J:,complete,complete,yes
8,id16_0007,id0_id16_0007,0,H:\Celeb-real FRAMES\id16_0007,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0007,284,479,H:,J:,complete,complete,yes
9,id16_0008,id0_id16_0008,0,H:\Celeb-real FRAMES\id16_0008,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0008,337,464,H:,J:,complete,complete,yes
10,id16_0009,id0_id16_0009,0,H:\Celeb-real FRAMES\id16_0009,J:\DF\FR\Celeb-synthesis FRAMES\id0_id16_0009,315,520,H:,J:,complete,complete,yes
11,id17_0000,id0_id17_0000,0,H:\Celeb-real FRAMES\id17_0000,J:\DF\FR\Celeb-synthesis FRAMES\id0_id17_0000,305,469,H:,J:,complete,complete,yes
12,id17_0001,id0_id17_0001,0,H:\Celeb-real FRAMES\id17_0001,J:\DF\FR\Celeb-synthesis FRAMES\id0_id17_0001,315,303,H:,J:,complete,complete,yes
13,id17_0002,id0_id17_0002,0,H:\Celeb-real FRAMES\id17_0002,J:\DF\FR\Celeb-synthesis FRAMES\id0_id17_0002,334,350,H:,J:,complete,complete,yes
14,id17_0003,id0_id17_0003,0,H:\Celeb-real FRAMES\id17_0003,J:\DF\FR\Celeb-synthesis FRAMES\id0_id17_0003,247,529,H:,J:,complete,complete,yes
15,id17_0005,id0_id17_0005,0,H:\Celeb-real FRAMES\id17_0005,J:\DF\FR\Celeb-synthesis FRAMES\id0_id17_0005,312,459,H:,J:,complete,complete,yes
16,id17_0006,id0_id17_0006,0,H:\Celeb-real FRAMES\id17_0006,J:\DF\FR\Celeb-synthesis FRAMES\id0_id17_0006,201,534,H:,J:,complete,complete,yes
17,id17_0007,id0_id17_0007,0,H:\Celeb-real FRAMES\id17_0007,J:\DF\FR\Celeb-synthesis FRAMES\id0_id17_0007,274,479,H:,J:,complete,complete,yes
18,id17_0009,id0_id17_0009,0,H:\Celeb-real FRAMES\id17_0009,J:\DF\FR\Celeb-synthesis FRAMES\id0_id17_0009,298,520,H:,J:,complete,complete,yes
