dataset,folder,video_name,png_count,first_file,last_file,file_pattern,has_gaps,status,full_path
DFD,DFD_original sequences,01__exit_phone_room,102,frame_000000.png,frame_000303.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\01__exit_phone_room
DFD,DFD_original sequences,01__hugging_happy,263,frame_000000.png,frame_000786.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\01__hugging_happy
DFD,DFD_original sequences,01__kitchen_pan,187,frame_000000.png,frame_000558.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\01__kitchen_pan
DFD,DFD_original sequences,01__kitchen_still,267,frame_000000.png,frame_000798.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\01__kitchen_still
DFD,DFD_original sequences,01__meeting_serious,349,frame_000000.png,frame_001044.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\01__meeting_serious
DFD,DFD_original sequences,01__outside_talking_pan_laughing,209,frame_000000.png,frame_000624.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\01__outside_talking_pan_laughing
DFD,DFD_original sequences,01__outside_talking_still_laughing,284,frame_000000.png,frame_000849.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\01__outside_talking_still_laughing
DFD,DFD_original sequences,01__podium_speech_happy,301,frame_000000.png,frame_000900.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\01__podium_speech_happy
DFD,DFD_original sequences,01__secret_conversation,322,frame_000000.png,frame_000963.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\01__secret_conversation
DFD,DFD_original sequences,01__talking_against_wall,287,frame_000000.png,frame_000858.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\01__talking_against_wall
DFD,DFD_original sequences,01__talking_angry_couch,497,frame_000000.png,frame_001488.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\01__talking_angry_couch
DFD,DFD_original sequences,01__walking_and_outside_surprised,362,frame_000000.png,frame_001083.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\01__walking_and_outside_surprised
DFD,DFD_original sequences,01__walking_down_indoor_hall_disgust,278,frame_000000.png,frame_000831.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\01__walking_down_indoor_hall_disgust
DFD,DFD_original sequences,01__walking_down_street_outside_angry,204,frame_000000.png,frame_000609.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\01__walking_down_street_outside_angry
DFD,DFD_original sequences,01__walking_outside_cafe_disgusted,102,frame_000000.png,frame_000303.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\01__walking_outside_cafe_disgusted
DFD,DFD_original sequences,01__walk_down_hall_angry,124,frame_000000.png,frame_000369.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\01__walk_down_hall_angry
DFD,DFD_original sequences,02__exit_phone_room,122,frame_000000.png,frame_000363.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\02__exit_phone_room
DFD,DFD_original sequences,02__hugging_happy,269,frame_000000.png,frame_000804.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\02__hugging_happy
DFD,DFD_original sequences,02__kitchen_pan,197,frame_000000.png,frame_000588.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\02__kitchen_pan
DFD,DFD_original sequences,02__kitchen_still,285,frame_000000.png,frame_000852.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\02__kitchen_still
DFD,DFD_original sequences,02__meeting_serious,329,frame_000000.png,frame_000984.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\02__meeting_serious
DFD,DFD_original sequences,02__outside_talking_pan_laughing,221,frame_000000.png,frame_000660.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\02__outside_talking_pan_laughing
DFD,DFD_original sequences,02__outside_talking_still_laughing,274,frame_000000.png,frame_000819.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\02__outside_talking_still_laughing
DFD,DFD_original sequences,02__podium_speech_happy,359,frame_000000.png,frame_001074.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\02__podium_speech_happy
DFD,DFD_original sequences,02__secret_conversation,340,frame_000000.png,frame_001017.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\02__secret_conversation
DFD,DFD_original sequences,02__talking_against_wall,330,frame_000000.png,frame_000987.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\02__talking_against_wall
DFD,DFD_original sequences,02__talking_angry_couch,434,frame_000000.png,frame_001299.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\02__talking_angry_couch
DFD,DFD_original sequences,02__walking_and_outside_surprised,362,frame_000000.png,frame_001083.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\02__walking_and_outside_surprised
DFD,DFD_original sequences,02__walking_down_indoor_hall_disgust,275,frame_000000.png,frame_000822.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\02__walking_down_indoor_hall_disgust
DFD,DFD_original sequences,02__walking_down_street_outside_angry,248,frame_000000.png,frame_000741.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\02__walking_down_street_outside_angry
DFD,DFD_original sequences,02__walking_outside_cafe_disgusted,193,frame_000000.png,frame_000576.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\02__walking_outside_cafe_disgusted
DFD,DFD_original sequences,02__walk_down_hall_angry,135,frame_000000.png,frame_000402.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\02__walk_down_hall_angry
DFD,DFD_original sequences,03__exit_phone_room,207,frame_000000.png,frame_000618.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\03__exit_phone_room
DFD,DFD_original sequences,03__hugging_happy,272,frame_000000.png,frame_000813.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\03__hugging_happy
DFD,DFD_original sequences,03__kitchen_pan,183,frame_000000.png,frame_000546.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\03__kitchen_pan
DFD,DFD_original sequences,03__kitchen_still,319,frame_000000.png,frame_000954.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\03__kitchen_still
DFD,DFD_original sequences,03__meeting_serious,320,frame_000000.png,frame_000957.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\03__meeting_serious
DFD,DFD_original sequences,03__outside_talking_pan_laughing,244,frame_000000.png,frame_000729.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\03__outside_talking_pan_laughing
DFD,DFD_original sequences,03__outside_talking_still_laughing,317,frame_000000.png,frame_000948.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\03__outside_talking_still_laughing
DFD,DFD_original sequences,03__podium_speech_happy,280,frame_000000.png,frame_000837.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\03__podium_speech_happy
DFD,DFD_original sequences,03__secret_conversation,285,frame_000000.png,frame_000852.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\03__secret_conversation
DFD,DFD_original sequences,03__talking_against_wall,304,frame_000000.png,frame_000909.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\03__talking_against_wall
DFD,DFD_original sequences,03__talking_angry_couch,486,frame_000000.png,frame_001455.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\03__talking_angry_couch
DFD,DFD_original sequences,03__walking_and_outside_surprised,383,frame_000000.png,frame_001146.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\03__walking_and_outside_surprised
DFD,DFD_original sequences,03__walking_down_indoor_hall_disgust,489,frame_000000.png,frame_001464.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\03__walking_down_indoor_hall_disgust
DFD,DFD_original sequences,03__walking_down_street_outside_angry,406,frame_000000.png,frame_001215.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\03__walking_down_street_outside_angry
DFD,DFD_original sequences,03__walking_outside_cafe_disgusted,239,frame_000000.png,frame_000714.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\03__walking_outside_cafe_disgusted
DFD,DFD_original sequences,03__walk_down_hall_angry,195,frame_000000.png,frame_000582.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\03__walk_down_hall_angry
DFD,DFD_original sequences,04__exit_phone_room,129,frame_000000.png,frame_000384.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\04__exit_phone_room
DFD,DFD_original sequences,04__kitchen_pan,167,frame_000000.png,frame_000498.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\04__kitchen_pan
DFD,DFD_original sequences,04__kitchen_still,280,frame_000000.png,frame_000837.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\04__kitchen_still
DFD,DFD_original sequences,04__outside_talking_pan_laughing,268,frame_000000.png,frame_000801.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\04__outside_talking_pan_laughing
DFD,DFD_original sequences,04__outside_talking_still_laughing,270,frame_000000.png,frame_000807.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\04__outside_talking_still_laughing
DFD,DFD_original sequences,04__podium_speech_happy,311,frame_000000.png,frame_000930.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\04__podium_speech_happy
DFD,DFD_original sequences,04__secret_conversation,305,frame_000000.png,frame_000912.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\04__secret_conversation
DFD,DFD_original sequences,04__talking_against_wall,300,frame_000000.png,frame_000897.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\04__talking_against_wall
DFD,DFD_original sequences,04__talking_angry_couch,460,frame_000000.png,frame_001377.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\04__talking_angry_couch
DFD,DFD_original sequences,04__walking_down_street_outside_angry,193,frame_000000.png,frame_000576.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\04__walking_down_street_outside_angry
DFD,DFD_original sequences,04__walking_outside_cafe_disgusted,135,frame_000000.png,frame_000402.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\04__walking_outside_cafe_disgusted
DFD,DFD_original sequences,04__walk_down_hall_angry,114,frame_000000.png,frame_000339.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\04__walk_down_hall_angry
DFD,DFD_original sequences,05__exit_phone_room,173,frame_000000.png,frame_000516.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\05__exit_phone_room
DFD,DFD_original sequences,05__hugging_happy,274,frame_000000.png,frame_000819.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\05__hugging_happy
DFD,DFD_original sequences,05__kitchen_pan,226,frame_000000.png,frame_000675.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\05__kitchen_pan
DFD,DFD_original sequences,05__kitchen_still,292,frame_000000.png,frame_000873.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\05__kitchen_still
DFD,DFD_original sequences,05__outside_talking_pan_laughing,252,frame_000000.png,frame_000753.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\05__outside_talking_pan_laughing
DFD,DFD_original sequences,05__outside_talking_still_laughing,320,frame_000000.png,frame_000957.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\05__outside_talking_still_laughing
DFD,DFD_original sequences,05__podium_speech_happy,360,frame_000000.png,frame_001077.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\05__podium_speech_happy
DFD,DFD_original sequences,05__talking_against_wall,279,frame_000000.png,frame_000834.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\05__talking_against_wall
DFD,DFD_original sequences,05__walking_down_street_outside_angry,283,frame_000000.png,frame_000846.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\05__walking_down_street_outside_angry
DFD,DFD_original sequences,05__walking_outside_cafe_disgusted,211,frame_000000.png,frame_000630.png,frame_6digit_absolute,False,ok,F:\DFD_preprocessed\frames\DFD_original sequences\05__walking_outside_cafe_disgusted
