video_name,true_label,predicted_label,confidence,num_frames,status
aagfhgtpmv,fake,real,3.762392225326039e-06,10,success
aapnvogymq,fake,real,0.005667024292051792,10,success
abarnvbtwb,real,real,3.3266402169829234e-05,10,success
abofeumbvv,fake,real,0.12706618010997772,10,success
abqwwspghj,fake,real,6.773949280614033e-05,10,success
acifjvzvpm,fake,real,2.727132959989831e-05,10,success
acqfdwsrhi,fake,real,4.443364741746336e-05,10,success
acxnxvbsxk,fake,real,0.00027591155958361924,10,success
acxwigylke,fake,real,0.0027514505200088024,10,success
aczrgyricp,fake,fake,0.9964564442634583,10,success
adhsbajydo,fake,real,0.12446191906929016,10,success
adohikbdaz,fake,real,1.14533258965821e-06,10,success
adylbeequz,fake,real,0.0031420590821653605,10,success
aelfnikyqj,real,real,1.7322520307061495e-06,10,success
aelzhcnwgf,fake,real,1.9322487787576392e-06,10,success
aettqgevhz,fake,fake,0.9997888207435608,10,success
aevrfsexku,fake,real,4.302992601878941e-05,10,success
afoovlsmtx,real,real,0.00018285065016243607,10,success
agdkmztvby,fake,fake,0.9985535740852356,10,success
agqphdxmwt,fake,real,0.16665448248386383,10,success
agrmhtjdlk,real,real,9.02608189790044e-06,10,success
ahbweevwpv,fake,real,1.2283521755307447e-05,10,success
ahdbuwqxit,fake,real,0.00017092557391151786,10,success
ahfazfbntc,fake,real,0.0006396734388545156,10,success
ahqqqilsxt,real,real,1.9329070710227825e-05,10,success
aipfdnwpoo,fake,real,0.09584283083677292,10,success
ajqslcypsw,real,real,5.267205779091455e-05,10,success
ajwpjhrbcv,fake,real,0.0008290771511383355,10,success
aklqzsddfl,fake,real,0.05549957603216171,10,success
aknbdpmgua,fake,fake,0.9897322058677673,10,success
aknmpoonls,fake,real,0.0006768464809283614,10,success
akvmwkdyuv,fake,real,0.0009150512632913888,10,success
akxoopqjqz,fake,real,0.341086745262146,10,success
akzbnazxtz,fake,real,7.2496241045882925e-06,10,success
aladcziidp,fake,real,0.004501944873481989,10,success
alaijyygdv,fake,real,0.0006410169880837202,10,success
alninxcyhg,fake,real,7.287490734597668e-05,10,success
altziddtxi,fake,real,0.2157994508743286,10,success
alvgwypubw,fake,fake,0.7296460866928101,10,success
amaivqofda,fake,real,0.00028560697683133185,10,success
amowujxmzc,fake,real,3.928882142645307e-05,10,success
aneclqfpbt,fake,real,0.0075140902772545815,10,success
anpuvshzoo,real,real,1.7968047814065358e-06,10,success
aorjvbyxhw,fake,fake,0.997168242931366,10,success
apatcsqejh,fake,real,0.00043039274169132113,10,success
apgjqzkoma,fake,real,3.0324987164931372e-05,10,success
apogckdfrz,fake,fake,0.6398141980171204,10,success
aqpnvjhuzw,fake,real,2.3532074919785373e-05,10,success
arkroixhey,fake,real,8.830826914163481e-07,10,success
arlmiizoob,fake,real,0.11190031468868256,10,success
arrhsnjqku,fake,real,7.516974437749013e-05,10,success
asaxgevnnp,real,real,2.2581546090805205e-06,10,success
asdpeebotb,fake,fake,0.9993891716003418,10,success
aslsvlvpth,fake,fake,0.9938437938690186,10,success
asmpfjfzif,fake,real,0.0038211659993976355,10,success
asvcrfdpnq,fake,real,1.7344091247650795e-06,10,success
atkdltyyen,real,real,4.776711648446508e-05,10,success
atxvxouljq,fake,real,2.2375345452019246e-06,10,success
atyntldecu,fake,real,0.004031790420413017,10,success
atzdznmder,fake,real,0.00019390949455555528,10,success
aufmsmnoye,fake,real,0.00017471567844040692,10,success
augtsuxpzc,fake,fake,0.9992120265960693,10,success
avfitoutyn,fake,fake,0.9988601207733154,10,success
avgiuextiz,fake,real,3.881851807818748e-05,10,success
avibnnhwhp,fake,real,0.0015879906713962555,10,success
avmjormvsx,real,real,1.2107903785363305e-05,10,success
avnqydkqjj,fake,real,0.0005317042232491076,10,success
avssvvsdhz,fake,real,0.0033886476885527372,10,success
avtycwsgyb,fake,real,0.0341656468808651,10,success
avywawptfc,fake,fake,0.9930671453475952,10,success
awhmfnnjih,fake,real,3.911893873009831e-05,10,success
awnwkrqibf,fake,real,0.00033225942752324045,10,success
awukslzjra,fake,fake,0.9998641014099121,10,success
axczxisdtb,fake,fake,0.9995352029800415,10,success
axntxmycwd,real,real,6.476706766989082e-05,10,success
axoygtekut,fake,fake,0.9991002082824707,10,success
axwovszumc,fake,real,0.00012244003301020712,10,success
aybgughjxh,real,real,1.2787901141564362e-05,10,success
aybumesmpk,real,real,7.082329375407426e-06,10,success
ayqvfdhslr,fake,real,0.1181962862610817,10,success
aytzyidmgs,real,real,0.00134054955560714,10,success
azpuxunqyo,fake,real,0.0007614426431246102,10,success
azsmewqghg,fake,real,0.02203359082341194,10,success
bahdpoesir,fake,real,1.902763756334025e-06,10,success
bbhpvrmbse,fake,real,0.02555880695581436,10,success
bbhtdfuqxq,fake,real,1.1931036851819954e-06,10,success
bchnbulevv,fake,real,4.595930477080401e-06,10,success
bctvsmddgq,fake,real,4.792794698005309e-06,10,success
bdbhekrrwo,fake,fake,0.9999837875366211,10,success
bddjdhzfze,real,real,5.2393676014617085e-05,10,success
bdgipnyobr,fake,real,0.0002436578506603837,10,success
bdnaqemxmr,real,real,2.1468234990607016e-05,10,success
bdxuhamuqx,fake,real,0.0004189849132671952,10,success
beboztfcme,real,real,1.6391159078921191e-06,10,success
bejhvclboh,real,real,2.130007305822801e-05,10,success
benmsfzfaz,fake,real,0.2800719439983368,10,success
beyebyhrph,real,real,6.884465165057918e-06,10,success
bffwsjxghk,real,real,1.9152026652591303e-05,10,success
bgaogsjehq,fake,real,0.07665032893419266,10,success
bggsurpgpr,fake,real,5.808251808048226e-05,10,success
bghphrsfxf,fake,real,4.4057698687538505e-05,10,success
bgmlwsoamc,fake,real,1.539204822620377e-05,10,success
bguwlyazau,fake,real,0.0005871726898476481,10,success
bgvhtpzknn,real,real,0.0002447101869620383,10,success
bgwmmujlmc,real,real,1.16239971248433e-06,10,success
bhaaboftbc,fake,real,0.00018713656754698604,10,success
bhbdugnurr,fake,real,0.010332729667425156,10,success
bhpwpydzpo,fake,real,7.07306680851616e-05,10,success
bhsluedavd,fake,real,2.440438720441307e-06,10,success
bilnggbxgu,real,real,1.493531271989923e-06,10,success
bjjbwsqjir,fake,real,0.011039548553526402,10,success
bjkmjilrxp,fake,real,0.002721291733905673,10,success
bjsmaqefoi,fake,real,7.941604849293071e-07,10,success
bkmdzhfzfh,fake,fake,0.9999734163284302,10,success
bkvetcojbt,fake,real,5.70160818824661e-06,10,success
bkwxhglwct,fake,fake,0.9818533062934875,10,success
blpchvmhxx,fake,real,0.004618759732693434,10,success
blzydqdfem,fake,real,0.0013378756120800972,10,success
bmbbkwmxqj,fake,real,1.019391447698581e-06,10,success
bmehkyanbj,fake,real,0.11893390119075775,10,success
bmhvktyiwp,fake,real,0.0014321866910904646,10,success
bmioepcpsx,fake,real,1.784513733582571e-05,10,success
bmjmjmbglm,fake,real,0.00010233243665425107,10,success
bmjzrlszhi,real,real,4.940615326631814e-05,10,success
bnbuonyoje,fake,real,9.635783499106765e-06,10,success
bndybcqhfr,fake,real,0.0002535123785492033,10,success
bnjcdrfuov,fake,real,3.839827058982337e-06,10,success
bntlodcfeg,fake,real,0.00013395324640441686,10,success
bofqajtwve,fake,real,1.4027022189111449e-05,10,success
boovltmuwi,fake,real,0.013472805730998516,10,success
bopqhhalml,fake,real,0.1932620108127594,10,success
bourlmzsio,fake,real,3.5861378364643315e-06,10,success
bpapbctoao,real,real,0.00012085079652024433,10,success
bpwzipqtxf,fake,real,8.14270242699422e-05,10,success
bpxckdzddv,fake,real,6.863769499432237e-07,10,success
bqdjzqhcft,fake,real,0.0004837231826968491,10,success
bqeiblbxtl,fake,real,0.0004182217817287892,10,success
bqhtpqmmqp,fake,fake,0.9806507229804993,10,success
bqnymlsayl,fake,real,0.00018622948846314102,10,success
bqqpbzjgup,fake,real,0.16478122770786285,10,success
bqtuuwzdtr,fake,real,7.321999146370217e-05,10,success
brhalypwoo,fake,real,1.3750142898061313e-05,10,success
brvqtabyxj,fake,fake,0.9989544153213501,10,success
brwrlczjvi,real,real,1.954283561644843e-06,10,success
bseamdrpbj,fake,real,3.558542857717839e-06,10,success
bsfmwclnqy,fake,real,1.3399820090853609e-05,10,success
bsqgziaylx,fake,real,1.5294641571017564e-06,10,success
btiysiskpf,fake,real,0.0002795979962684214,10,success
btjlfpzbdu,fake,real,0.0017081137048080564,10,success
btjwbtsgln,fake,real,1.6422811768279644e-06,10,success
btmsngnqhv,fake,real,4.090959555469453e-05,10,success
btohlidmru,fake,real,1.2946587958140299e-05,10,success
btugrnoton,fake,real,0.12065631151199341,10,success
btunxncpjh,fake,real,0.0012272513704374433,10,success
btxlttbpkj,fake,real,7.935991743579507e-05,10,success
bulkxhhknf,real,real,3.1681693144491874e-06,10,success
bvgwelbeof,fake,real,0.00018121357425116003,10,success
bvzjkezkms,fake,fake,0.9934200644493103,10,success
bweezhfpzp,fake,fake,0.8994089365005493,10,success
bwhlgysghg,real,real,4.7486431867582723e-05,10,success
bwipwzzxxu,real,real,5.807874913443811e-05,10,success
bwuwstvsbw,fake,real,6.565065632457845e-06,10,success
bxzakyopjf,real,real,4.0202480704465415e-06,10,success
bydaidkpdp,fake,real,0.019294498488307,10,success
byfenovjnf,fake,real,0.0022368161007761955,10,success
byijojkdba,fake,fake,0.8709375858306885,10,success
byofowlkki,fake,real,1.5157147572608665e-06,10,success
byqzyxifza,fake,fake,0.9999926090240479,10,success
byunigvnay,fake,real,0.16565224528312683,10,success
byyqectxqa,fake,real,0.00015462987357750535,10,success
bzmdrafeex,fake,real,0.00022073742002248764,10,success
bzythlfnhq,real,real,0.00022592370805796236,10,success
caifxvsozs,real,real,3.117159849352902e-06,10,success
caqbrkogkb,fake,real,3.0673545552417636e-05,10,success
cbbibzcoih,fake,real,4.856704435951542e-06,10,success
cbltdtxglo,fake,fake,0.9974610805511475,10,success
ccfoszqabv,real,real,4.0476057620253414e-05,10,success
ccmonzqfrz,fake,real,0.0002172389067709446,10,success
cdaxixbosp,fake,real,3.211845523765078e-06,10,success
cdbsbdymzd,fake,real,0.00032713828841224313,10,success
cdphtzqrvp,fake,fake,0.9877930283546448,10,success
cepxysienc,fake,real,0.00016667199088260531,10,success
cettndmvzl,fake,real,0.00010880711488425732,10,success
ceymbecxnj,fake,real,0.15391743183135986,10,success
cferslmfwh,fake,real,0.018922267481684685,10,success
cffffbcywc,fake,fake,0.6552639603614807,10,success
cfxkpiweqt,real,real,3.0227829483919777e-05,10,success
cfyduhpbps,fake,real,0.0013327765045687556,10,success
cglxirfaey,fake,real,2.864655471057631e-06,10,success
cgvrgibpfo,fake,real,0.0003739096864592284,10,success
chtapglbcj,real,real,1.1605947292991914e-05,10,success
chviwxsfhg,real,real,0.0005214794655330479,10,success
chzieimrwu,fake,real,0.027982959523797035,10,success
ciyoudyhly,real,real,0.0058860331773757935,10,success
cizlkenljw,real,real,0.00041141503606922925,10,success
ckbdwedgmc,fake,real,0.00048470418551005423,10,success
ckjaibzfxa,real,real,0.01825132966041565,10,success
ckkuyewywx,real,real,1.3784897419100162e-05,10,success
cknyxaqouy,fake,fake,0.9996695518493652,10,success
cksanfsjhc,fake,real,0.0028506440576165915,10,success
clihsshdkq,fake,real,0.004693157039582729,10,success
clrycekyst,real,real,0.00030652116402052343,10,success
cmbzllswnl,real,real,1.2355884564385633e-06,10,success
cmxcfkrjiv,fake,real,0.0010880293557420373,10,success
cnilkgvfei,fake,real,0.00012754944327753037,10,success
coadfnerlk,fake,real,0.19685235619544983,10,success
cobjrlugvp,real,real,1.0333728823752608e-06,10,success
covdcysmbi,fake,real,9.290942398365587e-05,10,success
cpjxareypw,real,real,7.88696809195244e-07,10,success
cppdvdejkc,real,real,7.073312190186698e-06,10,success
cprhtltsjp,real,real,0.00016957348270807415,10,success
cqfugiqupm,fake,real,2.0173115444777068e-06,10,success
cqhngvpgyi,fake,real,4.333126707933843e-05,10,success
cqrskwiqng,fake,real,0.013629358261823654,10,success
crezycjqyk,real,real,5.563447848544456e-05,10,success
crktehraph,fake,real,0.001073688268661499,10,success
crzfebnfgb,fake,real,0.2121458649635315,10,success
cthdnahrkh,fake,real,0.003864844562485814,10,success
ctpqeykqdp,fake,real,3.248413486289792e-05,10,success
cttqtsjvgn,fake,real,1.9864678506564815e-06,10,success
ctzmavwror,fake,real,0.0035791986156255007,10,success
curpwogllm,fake,real,8.557633918826468e-06,10,success
cuzrgrbvil,fake,real,0.002500436967238784,10,success
cvaksbpssm,fake,real,1.0281744835083373e-05,10,success
cwbacdwrzo,fake,real,7.439195906044915e-05,10,success
cwrtyzndpx,fake,fake,0.9999929666519165,10,success
cwsbspfzck,fake,real,0.0011793778976425529,10,success
cwwandrkus,fake,fake,0.9999852180480957,10,success
cxfujlvsuw,fake,fake,0.9964151382446289,10,success
cxrfacemmq,fake,real,0.00046640526852570474,10,success
cxttmymlbn,fake,real,3.644918479039916e-06,10,success
cyboodqqyr,fake,real,7.773837569402531e-05,10,success
cyclgfjdrv,fake,real,1.895735476864502e-05,10,success
cyxlcuyznd,real,real,2.6353922294219956e-05,10,success
czfunozvwp,fake,real,1.2634895028895698e-05,10,success
czkdanyadc,fake,fake,0.9951743483543396,10,success
dafhtipaml,fake,fake,0.8349937796592712,10,success
dakiztgtnw,real,real,1.3644871614815202e-05,10,success
dakqwktlbi,fake,real,5.993386366753839e-06,10,success
dbhoxkblzx,fake,fake,0.9999203681945801,10,success
dbhrpizyeq,fake,real,0.21916793286800385,10,success
dbnygxtwek,real,real,5.4881631513126194e-05,10,success
dboxtiehng,fake,real,0.0001620150578673929,10,success
dbtbbhakdv,real,real,2.7974821932730265e-05,10,success
dbzcqmxzaj,fake,fake,0.9999969005584717,10,success
dbzpcjntve,fake,real,9.112560655921698e-05,10,success
dcamvmuors,fake,real,4.901835382042918e-06,10,success
dcuiiorugd,fake,real,0.0001001482960418798,10,success
ddepeddixj,real,real,3.443257583057857e-06,10,success
ddhfabwpuz,fake,fake,0.9896780252456665,10,success
ddjggcasdw,fake,real,0.034208931028842926,10,success
ddpvuimigj,fake,real,1.0636989827617072e-05,10,success
ddqccgmtka,fake,real,0.000819795357529074,10,success
degpbqvcay,fake,real,0.05936282128095627,10,success
deywhkarol,fake,fake,0.9812166094779968,10,success
deyyistcrd,fake,real,0.006603802554309368,10,success
dfbpceeaox,fake,fake,0.8544321656227112,10,success
dgmevclvzy,fake,real,1.6212975424423348e-06,10,success
dgxrqjdomn,fake,fake,0.916330099105835,10,success
dgzklxjmix,fake,real,0.14406217634677887,10,success
dhcndnuwta,real,real,0.25280630588531494,10,success
dhcselezer,fake,real,0.15613366663455963,10,success
dhevettufk,fake,real,0.020615091547369957,10,success
dhjmzhrcav,fake,real,0.00030264025554060936,10,success
dhkwmjxwrn,fake,real,0.0002267050585942343,10,success
dhxctgyoqj,real,real,0.0005071127670817077,10,success
diomeixhrg,fake,real,0.0017822905210778117,10,success
diopzaywor,fake,fake,0.9991356730461121,10,success
diqraixiov,fake,real,0.00015160784823819995,10,success
diuzrpqjli,fake,real,0.0028470181860029697,10,success
djvtbgwdcc,fake,real,1.3868285350326914e-05,10,success
djxdyjopjd,real,real,6.875817689433461e-06,10,success
dkdwxmtpuo,fake,real,5.605018486676272e-06,10,success
dkrvorliqc,fake,real,0.0005520399427041411,10,success
dkuayagnmc,real,real,0.0028629014268517494,10,success
dkwjwbwgey,fake,real,1.0694234333641361e-05,10,success
dkzvdrzcnr,real,real,1.226362428496941e-06,10,success
dlpoieqvfb,real,real,0.00036458400427363813,10,success
dlrsbscitn,fake,real,0.0007018349133431911,10,success
dnexlwbcxq,fake,fake,0.9996265172958374,10,success
dnhvalzvrt,fake,fake,0.8961229920387268,10,success
dntkzzzcdh,fake,fake,0.995428204536438,10,success
dnyvfblxpm,fake,real,7.933081178634893e-06,10,success
doanjploai,fake,real,0.0018071350641548634,10,success
dofusvhnib,fake,real,3.683816657940042e-06,10,success
dozyddhild,fake,real,0.0003505821223370731,10,success
dptbnjnkdg,fake,real,0.002887682756409049,10,success
dptrzdvwpg,fake,real,9.900835721055046e-05,10,success
dqppxmoqdl,fake,real,0.00663090730085969,10,success
dqqtjcryjv,fake,real,2.0130987650190946e-06,10,success
dqswpjoepo,fake,real,1.249707111128373e-05,10,success
dqzreruvje,fake,real,4.699857527157292e-05,10,success
drcyabprvt,real,real,5.620578576781554e-06,10,success
drgjzlxzxj,fake,real,0.0005020119715481997,10,success
drsakwyvqv,fake,real,0.0003382496943231672,10,success
drtbksnpol,fake,real,0.1961420774459839,10,success
dsdoseflas,fake,real,0.007455348968505859,10,success
dsgpbgsrdm,fake,real,1.7697624571155757e-05,10,success
dsjbknkujw,real,real,8.739701297599822e-05,10,success
dsndhujjjb,fake,real,6.676744987998973e-07,10,success
dtbpmdqvao,fake,real,0.16021694242954254,10,success
dtocdfbwca,fake,real,6.068702987249708e-06,10,success
dubiroskqn,fake,real,1.3435522987492732e-06,10,success
dulanfulol,fake,fake,0.998889148235321,10,success
